Director,mean,count
Joe Russo,6.566666666666666,3
Tim Johnson,6.566666666666666,6
Randal Kleiser,6.566666666666666,3
Andrew Davis,6.56,5
John Glen,6.56,5
Nicole Holofcener,6.56,5
James Watkins,6.550000000000001,2
Michael Cuesta,6.550000000000001,2
AndrÃ© Ãvredal,6.550000000000001,2
Jill Culton,6.55,2
Evan Goldberg,6.55,2
Michael Bay,6.55,8
Frank Marshall,6.55,4
Seth Rogen,6.55,2
Jon Erwin,6.55,6
Chris Wedge,6.55,4
Jonathan Mostow,6.55,4
Tom Gormican,6.55,2
Jonathan Teplitzky,6.55,2
Alex Kendrick,6.55,6
Tom Hanks,6.55,2
Judd Apatow,6.540000000000001,5
Kirk Jones,6.540000000000001,5
Peter Farrelly,6.536363636363637,11
Shekhar Kapur,6.533333333333334,3
Bibo Bergeron,6.533333333333334,3
Michael Apted,6.533333333333334,6
Jodie Foster,6.533333333333334,3
Brett Ratner,6.528571428571429,7
Richard Loncraine,6.525,4
Harold Ramis,6.525,8
Richard Lester,6.5200000000000005,5
Oliver Parker,6.5200000000000005,5
Josh Schwartz,6.5,3
Scott Speer,6.5,2
Robby Benson,6.5,2
Don Coscarelli,6.5,3
Hal Ashby,6.5,2
John Waters,6.5,2
Patricia Cardoso,6.5,2
Paul Andrew Williams,6.5,2
Gil Kenan,6.5,2
Peter Webber,6.5,2
Bill Condon,6.5,9
Ted Post,6.5,2
Roger Avary,6.5,2
Douglas Trumbull,6.5,2
Daniel Myrick,6.5,2
Craig Brewer,6.5,3
Uli Edel,6.5,2
Gavin Wiesen,6.5,2
Eduardo SÃ¡nchez,6.5,2
Jeannot Szwarc,6.5,2
Aleksey Sidorov,6.5,2
Jeff Fowler,6.5,2
Whit Stillman,6.5,3
Mikael HÃ¥fstrÃ¶m,6.5,5
James L. Brooks,6.5,3
Jim Sheridan,6.5,3
Allison Anders,6.5,3
Anand Tucker,6.5,3
Jeb Stuart,6.5,2
Gurinder Chadha,6.4799999999999995,5
Adrian Lyne,6.4799999999999995,5
Will Gluck,6.4799999999999995,5
John Milius,6.475,4
Tom Shadyac,6.475,8
Barry Levinson,6.466666666666667,15
Ira Sachs,6.466666666666666,3
Alan Taylor,6.466666666666666,3
Phyllida Lloyd,6.466666666666666,3
Noah Buschel,6.466666666666666,3
Brad Silberling,6.466666666666666,3
Tom Holland,6.466666666666666,3
Stuart Baird,6.466666666666666,3
Louis Leterrier,6.4625,8
Gary Fleder,6.459999999999999,5
Danny DeVito,6.45,4
Jonathan del Val,6.45,2
Lee Daniels,6.45,2
Craig Zobel,6.45,2
Christian Alvart,6.45,2
Richard Dutcher,6.45,2
Randy Barbato,6.45,2
Fenton Bailey,6.45,2
Adam Brooks,6.449999999999999,2
Adam Wingard,6.449999999999999,2
Vincenzo Natali,6.449999999999999,2
Scott Kalvert,6.449999999999999,2
Anthony Stacchi,6.449999999999999,2
Ivan Reitman,6.445454545454546,11
George Clooney,6.442857142857143,7
David Ayer,6.4375,8
Luc Besson,6.433333333333334,9
Jon Turteltaub,6.433333333333334,6
Mark L. Lester,6.433333333333334,3
Wes Ball,6.433333333333334,3
Joe Dante,6.433333333333334,6
Lorene Scafaria,6.433333333333334,3
Arie Posin,6.433333333333334,3
Jaume Collet-Serra,6.43,10
Rick Famuyiwa,6.425,4
Jon Avnet,6.425,4
Rawson Marshall Thurber,6.42,5
David Koepp,6.42,5
Andrew Erwin,6.42,5
Stephanie Laing,6.4,2
Thurop Van Orman,6.4,2
Stevie Binns,6.4,2
Scott Waugh,6.4,2
Kevin Spacey,6.4,2
Tommy Wirkola,6.4,2
Rupert Wyatt,6.4,4
Robert Harmon,6.4,2
Neill Blomkamp,6.4,4
Nora Ephron,6.4,4
John Stevenson,6.4,2
John Rice,6.4,2
Paul Feig,6.4,5
Richard Shepard,6.4,2
Joel Souza,6.4,2
Nicole Barber-Lane,6.4,2
William Phillips,6.4,2
Joe Cornish,6.4,2
Scott Walker,6.4,2
Sean S. Cunningham,6.4,2
Dany Boon,6.4,2
Jonas Ãkerlund,6.4,2
Emma Chadbourne,6.4,2
Mark Griffiths,6.4,2
Vicky Jenson,6.3999999999999995,3
Adam Rifkin,6.3999999999999995,3
George P. Cosmatos,6.3999999999999995,3
Nicholas Stoller,6.3999999999999995,6
NimrÃ³d Antal,6.3999999999999995,3
Matthew Hastings,6.3999999999999995,2
Kevin Lima,6.3999999999999995,3
Jonathan Frakes,6.3999999999999995,3
Kyle Balda,6.375,4
Burr Steers,6.375,4
Joel Schumacher,6.373333333333333,15
Bobby Farrelly,6.37,10
Douglas McGrath,6.366666666666667,3
Scott Derrickson,6.366666666666667,6
Craig Mazin,6.366666666666667,3
Colin Trevorrow,6.366666666666667,3
Tobe Hooper,6.359999999999999,5
Chris Weitz,6.3500000000000005,6
John Singleton,6.3500000000000005,6
Michael Corrente,6.35,2
Steven Zaillian,6.35,2
Nima Nourizadeh,6.35,2
Simon J. Smith,6.35,2
Susanna White,6.35,2
Nanette Burstein,6.35,2
E. Elias Merhige,6.35,2
Julius Avery,6.35,2
Ben Wheatley,6.35,2
Jean-Marie PoirÃ©,6.35,2
Sergei Bodrov,6.35,2
Andrew Fleming,6.35,2
Ben Stiller,6.34,5
Michael Thurmeier,6.333333333333333,3
Victor Salva,6.333333333333333,3
Jim Mickle,6.333333333333333,3
Timur Bekmambetov,6.333333333333333,3
Roger Spottiswoode,6.333333333333333,6
M. Night Shyamalan,6.327272727272727,11
Robert Rodriguez,6.325,16
Barry Sonnenfeld,6.325,8
Jake Kasdan,6.314285714285715,7
George Hickenlooper,6.300000000000001,2
Edward Burns,6.300000000000001,4
David Soren,6.300000000000001,2
